market_id,week_ending,code,comm_long,comm_short,noncomm_long,noncomm_short,open_interest,change_in_comm_long,change_in_comm_short,traders_tot
AD,2022-01-04,232741,145915,45106,12632,101998,180107,-351,-1684,94
AD,2022-01-11,232741,150375,46766,12383,103869,185453,4460,1660,91
AD,2022-01-18,232741,148978,50459,9051,97505,181136,-1397,3693,91
AD,2022-01-25,232741,153386,55637,15121,98394,190020,4408,5178,101
AD,2022-02-01,232741,155124,59026,18835,98664,196913,1738,3389,103
AD,2022-02-08,232741,155203,56846,17323,103064,196403,79,-2180,95
AD,2022-02-15,232741,155928,58244,11692,98386,192578,725,1398,89
AD,2022-02-22,232741,157416,61344,11553,95633,192579,1488,3100,93
AD,2022-03-01,232741,151922,64185,12720,91056,189667,-5494,2841,88
AD,2022-03-08,232741,146144,67961,19521,97716,197094,-5778,3776,93
AD,2022-03-15,232741,77621,28981,24281,69137,124521,-68523,-38980,84
AD,2022-03-22,232741,75916,27528,23747,74936,127767,-1705,-1453,85
AD,2022-03-29,232741,80885,39991,33960,83566,143007,4969,12463,96
AD,2022-04-05,232741,80207,57875,34871,72384,148898,-678,17884,100
AD,2022-04-12,232741,81396,63520,39770,68485,150939,1189,5645,94
AD,2022-04-19,232741,79208,58408,39201,68038,147309,-2188,-5112,87
AD,2022-04-26,232741,75929,47013,47105,74756,147090,-3279,-11395,97
AD,2022-05-03,232741,80147,45922,46995,75511,152257,4218,-1091,99
AD,2022-05-10,232741,91731,44605,36869,78583,153209,11584,-1317,95
AD,2022-05-17,232741,98903,44466,41473,86115,163809,7172,-139,99
AD,2022-05-24,232741,99401,46132,36579,82025,158615,498,1666,90
AD,2022-05-31,232741,97031,45903,32897,81579,153661,-2370,-229,92
AD,2022-06-07,232741,99747,52334,31720,79616,166422,2716,6431,96
AD,2022-06-14,232741,85591,40881,31660,74914,142857,-14156,-11453,87
AD,2022-06-21,232741,82514,37906,31745,72351,137017,-3077,-2975,82
AD,2022-06-28,232741,86347,39184,28887,71867,139891,3833,1278,81
AD,2022-07-05,232741,95252,39544,27622,75243,146950,8905,360,92
AD,2022-07-12,232741,106112,53622,30527,72127,158263,10860,14078,91
AD,2022-07-19,232741,102518,53242,30578,73726,155246,-3594,-380,93
AD,2022-07-26,232741,102398,51797,30024,77409,156473,-120,-1445,92
AD,2022-08-02,232741,115141,53017,30835,86785,167931,12743,1220,88
AD,2022-08-09,232741,109593,50152,25644,83232,158100,-5548,-2865,86
AD,2022-08-16,232741,110918,47448,28835,88083,160045,1325,-2704,95
AD,2022-08-23,232741,114923,50738,32342,92370,169212,4005,3290,89
AD,2022-08-30,232741,114957,52454,31304,88697,169267,34,1716,91
AD,2022-09-06,232741,118817,55033,33305,89805,178232,3860,2579,90
AD,2022-09-13,232741,120393,53375,29218,87068,182287,1576,-1658,90
AD,2022-09-20,232741,92900,40772,38797,79353,150544,-27493,-12603,92
AD,2022-09-27,232741,92836,44838,39006,73659,152301,-64,4066,96
AD,2022-10-04,232741,82080,43276,36248,64012,139490,-10756,-1562,94
AD,2022-10-11,232741,86475,43783,29325,60596,138320,4395,507,91
AD,2022-10-18,232741,95474,46503,33046,68405,150496,8999,2720,89
AD,2022-10-25,232741,115337,49018,32159,83605,166961,19863,2515,90
AD,2022-11-01,232741,111638,48912,34148,84680,165411,-3699,-106,96
AD,2022-11-08,232741,108584,53361,33288,79971,162523,-3054,4449,95
AD,2022-11-15,232741,110099,55987,33214,77963,162440,1515,2626,95
AD,2022-11-22,232741,104123,54109,32825,75611,156807,-5976,-1878,90
AD,2022-11-29,232741,104506,53600,35045,79675,159378,383,-509,93
AD,2022-12-06,232741,101160,58340,36334,76897,158755,-3346,4740,94
AD,2022-12-13,232741,105480,62635,35825,73662,172269,4320,4295,92
AD,2022-12-20,232741,75507,37079,31779,65894,129256,-29973,-25556,85
AD,2022-12-27,232741,72829,34548,32955,69746,129195,-2678,-2531,80
AD,2023-01-03,232741,74724,35129,35208,71475,132960,1895,581,80
AD,2023-01-10,232741,71696,39486,30210,63900,126028,-3028,4357,80
AD,2023-01-17,232741,71052,45116,28593,62213,128213,-644,5630,75
AD,2023-01-24,232741,74818,45112,29466,62637,129490,3766,-4,79
AD,2023-01-31,232741,72741,49579,36337,66929,136304,-2077,4467,81
AD,2023-02-07,232741,64682,41941,30044,58149,124006,-8059,-7638,80
AD,2023-02-14,232741,66335,42600,30752,59659,126033,1653,659,76
AD,2023-02-21,232741,60543,35494,38492,63280,123456,-5792,-7106,77
