event_type,date
FOMC,2025-01-29
FOMC,2025-03-19
FOMC,2025-05-07
FOMC,2025-06-18
FOMC,2025-07-30
FOMC,2025-09-17
FOMC,2025-11-05
FOMC,2025-12-17
FOMC,2026-01-28
FOMC,2026-03-18
FOMC,2026-05-06
FOMC,2026-06-17
FOMC,2026-07-29
CPI,2025-01-15
CPI,2025-02-12
CPI,2025-03-12
CPI,2025-04-10
CPI,2025-05-13
CPI,2025-06-11
CPI,2025-07-15
CPI,2025-08-12
CPI,2025-09-11
CPI,2025-10-15
CPI,2025-11-13
CPI,2025-12-10
CPI,2026-01-14
CPI,2026-02-11
CPI,2026-03-12
CPI,2026-04-10
CPI,2026-05-12
CPI,2026-06-11
CPI,2026-07-15
