cik,net_income,net_income_prior,revenue,total_assets,stockholders_equity,total_liabilities
1750,-8900000,-30600000,,2859100000,1182600000,
1800,1325000000,,,81448000000,48811000000,
1961,-116601,,,9959,-3770146,3780105
2098,1653000,,45958000,163039000,108281000,54758000
2186,2132000,,,56066000,32369000,23697000
2488,709000000,,,71550000000,57881000000,
3197,35984000,,,957095000,285791000,667044000
3453,72300000,,,4527000000,2633200000,
3499,12312000,,54915000,1332903000,163089000,1169814000
3570,353000000,,5444000000,43546000000,5581000000,33449000000
4281,344000000,,,10772000000,4792000000,5980000000
4962,2584000000,,,282244000000,31202000000,251042000000
4977,29000000,,3398000000,120258000000,26338000000,93920000000
5272,698000000,898000000,6783000000,161864000000,41431000000,120405000000
5513,189100000,,3091600000,62459800000,11214000000,51245800000
5981,-8462000,,,631588000,,404234000
6176,1142000,,104265000,536193000,64642000,458523000
6201,-473000000,,,62609000000,-4508000000,
7084,295000000,,20175000000,53402000000,,
7431,69100000,,,1854400000,793400000,
7536,79720000,,6814017000,21400842000,5925005000,
7623,-55757,,5140955,21004594,12080743,8923851
7789,101687000,,,43309136000,4686558000,38622578000
8063,9528000,-2832000,,662242000,266757000,395485000
8146,-376000,,,150324000,76551000,73773000
8177,802000,,50125000,388436000,102385000,286051000
8504,7060039,,3649410,20222264,4176928,16045336
8670,1249500000,963200000,,56448600000,5855300000,50593300000
8818,166300000,,,8354700000,2170500000,
8858,87919000,87253000,,11712330000,4884967000,6827363000
9092,38398000,30717000,,899596000,641686000,
9326,37053000,33583000,,1617555000,1208701000,408854000
10329,1854000,,,335786000,166798000,
10456,126000000,-512000000,,21304000000,7081000000,14250000000
11544,417571000,,3547399000,41345792000,8914039000,32419420000
12040,2690000,55000,53359000,143307000,64002000,65410000
12208,64000000,-715800000,,9526900000,6679400000,2847500000
12239,-32488000,,7240000,52335000,42428000,9907000
12659,722330000,-243420000,,3245011000,-192838000,3437849000
12927,-37000000,,19496000000,156494000000,-3325000000,159819000000
13156,-2021282,,,27816794,-21630570,49447364
14272,2456000000,,11201000000,92427000000,17389000000,74979000000
14707,6943000,,,1907696000,605179000,
14846,-2352000,-2070000,24106000,703913000,198453000,505524000
14930,20200000,,1221800000,5857000000,1872200000,
15357,-104711,136215,,1414133,818242,595891
15615,9903000,,2847718000,8861938000,2884341000,5906679000
16058,111860000,109938000,,8580078000,3704446000,4875632000
16160,508533000,219064000,,3081569000,2381772000,694061000
16732,66000000,173000000,2475000000,14828000000,3870000000,10956000000
16918,-375300000,615900000,,21652300000,6882000000,14517500000
17313,17561000,16268000,,1882840000,883633000,999207000
17843,95400000,84100000,,3361800000,1781700000,1580100000
18255,3309000,,170242000,440806000,164917000,
18349,195014000,,,60339121000,5390751000,54926818000
18498,-21227000,,,1404591000,522232000,882359000
18926,-201000000,,3182000000,33538000000,289000000,
19584,71757000,,646943000,1726515000,1181762000,544753000
19617,14643000000,,,4357856000000,351420000000,4006436000000
19745,50900000,,298700000,3664600000,1447300000,
19871,401022,,7245635,24071057,20404490,3666567
20212,77000000,,,7347100000,1072000000,6254000000
20286,-90000000,,2566000000,37276000000,13718000000,23558000000
20520,-64000000,,1511000000,20898000000,4877000000,16021000000
20639,-1592000,,,200000,-5717000,5917000
21076,186000000,193000000,,5512000000,27000000,5322000000
21175,274000000,,3627000000,67326000000,10279000000,57047000000
21344,3330000000,,11129000000,101716000000,26202000000,
21535,-30804000,,,975537000,827717000,
