cik,sic,sic2
0000001800,2834,28
0000002098,3420,34
0000002488,3674,36
0000002969,2810,28
0000003197,3564,35
0000003453,4400,44
0000003545,0100,01
0000003570,4924,49
0000004127,3674,36
0000004281,3350,33
0000004904,4911,49
0000005981,2870,28
0000006176,3561,35
0000006201,4512,45
0000006281,3674,36
0000006951,3674,36
0000006955,3590,35
0000007431,3089,30
0000007536,5065,50
0000007623,3523,35
0000008063,3728,37
0000008146,3577,35
0000008858,5065,50
0000009092,3824,38
0000009326,2800,28
0000010048,1311,13
0000010329,2511,25
0000010456,3841,38
0000010795,3841,38
0000012040,5812,58
0000012208,3826,38
0000012239,6211,62
0000012927,3721,37
0000013156,7900,79
0000014177,2013,20
0000014846,6798,67
0000014930,3510,35
0000015357,2060,20
0000015615,1623,16
0000016040,2890,28
0000016058,7373,73
0000016160,0200,02
0000016732,2000,20
0000017843,3312,33
0000018230,3531,35
0000018255,5621,56
0000018498,5661,56
0000018926,4813,48
0000019584,8082,80
0000019745,4923,49
0000019871,3540,35
0000020212,7948,79
0000021344,2080,20
0000021665,2844,28
0000022701,1700,17
0000023194,1311,13
0000023197,3663,36
0000023217,2000,20
0000023795,6798,67
0000024741,3357,33
0000025232,6798,67
0000025445,3490,34
0000025743,2834,28
0000026058,3672,36
0000026172,3510,35
0000026324,3590,35
0000026780,3714,37
0000027419,5331,53
0000027430,4931,49
0000027904,4512,45
0000027996,2780,27
0000028823,3578,35
0000029002,3674,36
0000029332,2273,22
0000029534,5331,53
0000029905,3530,35
0000029989,7311,73
0000030305,3728,37
0000030697,5810,58
0000031107,3420,34
0000031235,3861,38
0000031462,2840,28
0000031791,3826,38
0000033185,7320,73
0000033213,1311,13
0000033488,3949,39
0000033533,3679,36
0000034067,3390,33
0000034285,7363,73
0000034903,6798,67
0000036840,6798,67
0000037472,2510,25
0000037785,2800,28
0000037996,3711,37
0000038264,6199,61
0000038725,3621,36
0000038777,6282,62
0000039911,5651,56
0000040533,3730,37
0000040570,7361,73
0000040704,2040,20
0000041719,2621,26
0000042888,3561,35
0000043196,4833,48
0000045876,8900,89
0000045919,7331,73
0000046080,3944,39
0000046129,3825,38
0000046619,3724,37
0000046765,1381,13
0000047111,2060,20
0000047217,3570,35
0000048287,2522,25
0000048898,3670,36
0000049071,6324,63
0000049826,3560,35
0000050493,5411,54
0000050725,3442,34
0000050863,3674,36
0000051253,2860,28
0000052827,6798,67
0000053456,4911,49
0000054187,6512,65
0000055135,7363,73
0000055242,3541,35
0000055785,2670,26
0000056047,4400,44
0000056978,3674,36
0000057515,2030,20
0000059255,2810,28
0000059527,3540,35
0000060519,2400,24
0000060667,5211,52
0000060714,2810,28
0000061004,3679,36
0000061986,3531,35
0000062234,7830,78
0000062709,6411,64
0000062996,3430,34
0000063276,3942,39
0000063330,6500,65
0000063754,2090,20
0000063908,5812,58
0000064040,7320,73
0000064463,6199,61
0000064803,5912,59
0000065596,6211,62
0000065770,3679,36
0000065984,4911,49
0000066004,4941,49
0000066382,2520,25
0000066570,3842,38
0000066740,3841,38
0000067716,1400,14
0000067887,3590,35
0000068505,3663,36
0000068622,4813,48
0000069422,6513,65
0000069488,3089,30
0000069633,3669,36
0000070145,4924,49
0000070318,8062,80
0000070487,8731,87
0000070866,3578,35
0000071557,4813,48
0000071691,2711,27
0000071829,7350,73
0000072162,2810,28
0000072205,2451,24
0000072331,3569,35
0000072444,2836,28
0000072573,3873,38
0000072741,4911,49
0000073290,2835,28
0000073756,1389,13
0000074046,3990,39
0000074208,6798,67
0000074303,2800,28
0000075252,5047,50
0000075288,2320,23
0000075677,2650,26
0000076282,3460,34
0000076334,3490,34
0000076605,3714,37
0000077360,3550,35
0000077476,2080,20
0000077543,1540,15
0000078128,4941,49
0000078239,2320,23
0000078890,4731,47
0000079661,6552,65
0000079879,2851,28
0000080035,1623,16
0000080172,3480,34
0000080420,3613,36
0000080424,2840,28
0000081061,5411,54
0000081362,2990,29
0000082020,1400,14
0000082473,6798,67
0000083246,6021,60
0000084748,2821,28
0000084839,7340,73
0000085535,6795,67
0000087802,3826,38
0000088000,6282,62
0000088121,5150,51
0000088205,3540,35
0000088941,3674,36
0000089089,7200,72
0000089439,3350,33
0000090168,3724,37
0000091142,3630,36
0000091388,2011,20
0000091440,3420,34
0000091767,2650,26
0000092122,4911,49
0000092380,4512,45
0000093314,2835,28
0000093389,3714,37
0000094049,2840,28
0000094845,2300,23
0000095029,3480,34
0000095953,2800,28
0000096021,5140,51
0000096271,4911,49
0000096536,3569,35
0000096869,6500,65
0000096943,3841,38
0000097134,3580,35
0000097210,3825,38
0000097216,3537,35
0000097476,3674,36
0000097745,3829,38
0000098222,4400,44
0000098362,3562,35
0000098677,2060,20
0000099780,3743,37
0000100122,4911,49
0000100378,3560,35
0000100493,2015,20
0000100517,4512,45
0000100591,1700,17
0000100726,2200,22
0000100885,4011,40
0000101538,3330,33
0000101594,1311,13
0000101829,3724,37
0000101984,3651,36
0000102729,3440,34
0000102752,8711,87
0000103595,5411,54
0000103730,3670,36
0000104169,5331,53
0000104918,4931,49
0000105016,5070,50
0000105132,2890,28
0000105319,7200,72
0000105418,5411,54
0000105634,1731,17
0000105744,1311,13
0000105770,3841,38
0000106040,3572,35
0000106532,5130,51
0000106535,6798,67
0000106640,3630,36
0000107263,4922,49
0000107687,3716,37
0000107815,4911,49
0000107833,4931,49
