cik,sic2,op_income_loss_cy2025q1,revenues_cy2025q1,revenues_cy2026q1,opmargin_cy2025q1_level,prior_year_opmargin_level_rank,gross_profit_cy2025q1,gross_profit_cy2026q1,ocf_cy2025q1,ocf_cy2026q1,assets_cy2024q4i,assets_cy2025q1i,assets_cy2025q4i,assets_cy2026q1i
0000001800,28,1693000000.00,10358000000.00,11164000000.00,0.163449,187.0,,,1417000000.00,1315000000.00,81414000000.00,81448000000.00,86713000000.00,110429000000.00
0000002098,34,2426000.00,45958000.00,52301000.00,0.052787,2222.0,17917000.00,20785000.00,-3337000.00,-2233000.00,162170586.00,163039000.00,170998000.00,195243000.00
0000002488,36,806000000.00,7438000000.00,10253000000.00,0.108362,554.0,3736000000.00,5416000000.00,939000000.00,2955000000.00,69226000000.00,71550000000.00,76926000000.00,79642000000.00
0000002969,28,-2328000000.00,2916200000.00,3171800000.00,-0.798299,317.0,,,,,40017200000.00,38872900000.00,41240700000.00,41644700000.00
0000003197,35,61870000.00,176697000.00,205919000.00,0.350147,729.0,62162000.00,63919000.00,-11696000.00,-13100000.00,759699000.00,957095000.00,893769000.00,1027375000.00
0000003453,44,82100000.00,782000000.00,757800000.00,0.104987,2498.0,,,89000000.00,94000000.00,4595400000.00,4527000000.00,4635600000.00,4583000000.00
0000003545,01,-153085000.00,17980000.00,5340000.00,-8.514182,2703.0,-149697000.00,-4588000.00,,,397596000.00,243165000.00,194962000.00,199857000.00
0000003570,49,961000000.00,5444000000.00,5868000000.00,0.176525,1952.0,,,1228000000.00,1080000000.00,43858000000.00,43546000000.00,47882000000.00,46845000000.00
0000004127,36,97300000.00,953200000.00,943700000.00,0.102077,556.0,391600000.00,385300000.00,,,8331100000.00,7885700000.00,7867900000.00,7896000000.00
0000004281,33,494000000.00,1942000000.00,2313000000.00,0.254377,2282.0,,,253000000.00,453000000.00,10519000000.00,10772000000.00,11179000000.00,13067000000.00
0000004904,49,1284000000.00,5463000000.00,6020000000.00,0.235036,1921.0,,,1450000000.00,1519000000.00,103078000000.00,104394600000.00,114460000000.00,117776000000.00
0000005981,28,-4310000.00,115800000.00,123568000.00,-0.037219,263.0,30191000.00,38417000.00,-20576000.00,-35442000.00,636721000.00,631588000.00,596537000.00,665243000.00
0000006176,35,3850000.00,104265000.00,108327000.00,0.036925,833.0,,,-5280000.00,1647000.00,530896000.00,536193000.00,495355000.00,497207000.00
0000006201,45,-270000000.00,12551000000.00,13912000000.00,-0.021512,2082.0,,,2456000000.00,4223000000.00,61783000000.00,62609000000.00,61774000000.00,63738000000.00
0000006281,36,677944000.00,2640068000.00,3623465000.00,0.256790,530.0,1611610000.00,2439798000.00,,,47967546000.00,47344487000.00,47991190000.00,47949095000.00
0000006951,36,2169000000.00,7100000000.00,7910000000.00,0.305493,525.0,3485000000.00,3947000000.00,,,33338000000.00,33632000000.00,37644000000.00,40286000000.00
0000006955,35,30820000.00,145528000.00,154807000.00,0.211781,756.0,73431000.00,71815000.00,,,775351000.00,776627000.00,818061000.00,795495000.00
0000007431,30,98500000.00,382700000.00,409900000.00,0.257382,687.0,149900000.00,155300000.00,41000000.00,32100000.00,1842700000.00,1854400000.00,1924700000.00,1985900000.00
0000007536,50,158553000.00,6814017000.00,9473548000.00,0.023269,2190.0,773992000.00,1090460000.00,351679000.00,699752000.00,21757707000.00,21400842000.00,29078138000.00,35953970000.00
