cik,opmargin_change_rank
0000001800,453
0000002098,768
0000002488,2538
0000002969,311
0000003197,146
0000003453,1549
0000003545,623
0000003570,1967
0000004127,2597
0000004281,1107
0000004904,1712
0000005981,386
0000006176,116
0000006201,716
0000006281,2510
0000006951,2561
0000006955,130
0000007431,741
0000007536,996
0000007623,56
0000008063,2166
0000008146,73
0000008858,1012
0000009092,1423
0000009326,424
0000010048,858
0000010329,1291
0000010456,1273
0000010795,1454
0000012040,1372
0000012208,1222
0000012239,707
0000012927,2196
0000013156,2285
0000014177,688
0000014846,2372
0000014930,111
0000015357,647
0000015615,1109
0000016040,444
0000016058,1996
0000016160,1315
0000016732,660
0000017843,1137
0000018230,104
0000018255,1044
0000018498,1048
0000018926,160
0000019584,611
0000019745,1711
0000019871,140
0000020212,2292
0000021344,664
0000021665,448
0000022701,1650
0000023194,806
0000023197,2579
0000023217,666
0000023795,2364
0000024741,1161
0000025232,2366
0000025445,775
0000025743,289
0000026058,2544
0000026172,124
0000026324,85
0000026780,2186
0000027419,1409
0000027430,1648
0000027904,720
0000027996,908
0000028823,100
0000029002,2534
0000029332,1251
0000029534,1329
0000029905,112
0000029989,2067
0000030305,2167
0000030697,1466
0000031107,773
0000031235,1168
0000031462,421
0000031791,1281
0000033185,1986
0000033213,795
0000033488,1129
0000033533,2520
0000034067,1415
0000034285,1899
0000034903,2345
0000036840,2407
0000037472,1090
0000037785,483
0000037996,2169
0000038264,2750
0000038725,2572
0000038777,1524
0000039911,1038
0000040533,2190
0000040570,1632
0000040704,691
0000041719,1248
0000042888,118
0000043196,182
0000045876,1316
0000045919,2071
0000046080,1100
0000046129,1275
0000046619,2173
0000046765,843
0000047111,655
0000047217,110
0000048287,1445
0000048898,2566
0000049071,1425
0000049826,91
0000050493,1243
0000050725,764
0000050863,2613
0000051253,336
0000052827,2430
0000053456,1671
0000054187,1621
0000055135,2055
0000055242,61
0000055785,1223
0000056047,1542
0000056978,2480
0000057515,676
0000059255,446
0000059527,98
0000060519,1518
0000060667,1261
0000060714,373
0000061004,2620
0000061986,105
0000062234,1446
0000062709,1187
0000062996,756
0000063276,1344
0000063330,1690
0000063754,678
0000063908,1367
0000064040,1902
0000064463,2729
0000064803,2665
0000065596,1759
0000065770,2625
0000065984,1750
0000066004,1688
0000066382,1077
0000066570,1226
0000066740,1215
0000067716,2449
0000067887,84
0000068505,2588
0000068622,203
0000069422,1567
0000069488,732
0000069633,2615
0000070145,1738
0000070318,583
0000070487,1041
0000070866,96
0000071557,169
0000071691,910
0000071829,2064
0000072162,407
0000072205,1402
0000072331,79
0000072444,321
0000072573,1169
0000072741,1682
0000073290,485
0000073756,828
0000074046,1170
0000074208,2346
0000074303,466
0000075252,1022
0000075288,1432
0000075677,1383
0000076282,761
0000076334,760
0000076605,2194
0000077360,99
0000077476,663
0000077543,2323
0000078128,1752
0000078239,1050
0000078890,280
0000079661,1523
0000079879,427
0000080035,1147
0000080172,769
0000080420,2578
0000080424,436
0000081061,1284
0000081362,1352
0000082020,2453
0000082473,2404
0000083246,1517
0000084748,384
0000084839,2050
0000085535,2392
0000087802,895
0000088000,1672
0000088121,933
0000088205,82
0000088941,2595
0000089089,1151
0000089439,1120
0000090168,2155
0000091142,2580
0000091388,673
0000091440,765
0000091767,1290
0000092122,1724
0000092380,710
0000093314,233
0000093389,2180
0000094049,473
0000094845,1374
0000095029,780
0000095953,433
0000096021,949
0000096271,1721
0000096536,83
0000096869,1093
0000096943,1536
0000097134,131
0000097210,1056
0000097216,138
0000097476,2533
0000097745,1266
0000098222,1562
0000098362,87
0000098677,674
0000099780,2171
0000100122,1747
0000100378,64
0000100493,662
0000100517,715
0000100591,1306
0000100726,1171
0000100885,1309
0000101538,1816
0000101594,877
0000101829,2181
0000101984,2576
0000102729,751
0000102752,979
0000103595,1296
0000103730,2548
0000104169,1347
0000104918,1664
0000105016,1019
0000105132,419
0000105319,1280
0000105418,1241
0000105634,1396
0000105744,793
0000105770,1154
0000106040,72
0000106532,940
0000106535,2360
0000106640,2592
0000107263,1652
0000107687,2187
0000107815,1729
0000107833,1726
0000108516,1183
0000108985,1733
0000109177,2541
0000109563,1017
0000110471,1465
0000202058,1242
0000205402,1001
0000215466,2770
0000216228,128
0000216877,1166
0000275053,406
0000275880,2034
0000276720,1553
0000277135,1003
0000277509,2178
0000277638,547
0000277948,1184
0000278165,2128
0000310142,414
0000310764,1238
0000312257,935
0000313616,1265
0000313927,428
0000314203,2765
0000314227,376
0000314808,860
0000315213,2020
0000315293,1089
0000315374,1152
0000315958,2080
0000317540,668
0000318154,355
0000318300,1055
0000318833,1317
0000320121,1800
0000320193,86
0000350698,1773
0000350894,1560
0000351998,1786
0000352541,1723
0000352915,605
0000352955,883
0000352991,1582
0000354707,1718
0000354950,1267
0000354963,190
0000355811,2206
0000355948,964
0000356037,1957
0000356309,1731
0000700923,1110
0000701719,2651
0000701985,2656
0000702165,1496
0000703351,1385
0000703604,1029
0000704440,1156
0000704532,1515
0000706698,1377
0000707549,78
0000708821,63
0000709005,1373
0000711377,450
0000711404,1574
0000712034,914
0000714256,1149
0000715787,1365
0000715957,1732
0000716133,186
0000716634,1218
0000716643,1114
0000717423,831
0000717605,413
0000717954,1148
0000718332,937
0000718937,870
0000719135,1037
0000719733,2570
0000719955,1525
0000720154,1058
0000720515,1674
0000721693,222
0000722313,2509
0000722572,2611
0000723125,2488
0000723254,1334
0000723531,1007
0000725394,2211
0000727273,2241
0000727346,2426
0000727510,374
0000728385,1080
0000728391,1662
0000729580,2583
0000730349,690
0000730464,896
0000731766,1388
0000731802,1653
0000732712,177
0000732717,172
0000732834,894
0000733590,2424
0000737758,93
0000744218,2796
0000744825,582
0000745308,1593
0000745732,1054
0000746514,1658
0000746515,276
0000746598,1209
0000746838,1950
0000747540,1033
0000748268,640
0000749251,971
0000750004,2108
0000751365,1498
0000751978,2507
0000752714,2058
0000755001,1719
0000761648,2436
0000763744,2184
0000764065,2774
0000764180,1074
0000764622,1656
0000764630,2751
0000766421,722
0000766792,148
0000766829,1713
0000769397,1836
0000769520,120
0000771266,2635
0000771497,2024
0000771999,1663
0000773840,2185
0000775158,2216
0000778164,389
0000779152,1997
0000779544,1194
0000780571,1303
0000783325,1717
0000784199,1203
0000784539,993
0000784977,1749
0000785786,2465
0000787250,1647
0000788329,1155
0000788784,1665
0000788816,1722
0000788920,1433
0000788965,1762
0000789019,1998
0000789460,942
0000789570,1487
0000789933,1175
0000790051,736
0000790526,597
0000790816,2425
0000791908,494
0000791963,1628
0000792987,126
0000793074,1277
0000793171,504
0000793306,797
0000793524,2458
0000793952,2225
0000794367,1332
0000795403,748
0000796343,2021
0000796505,2606
0000798081,1079
0000798354,2122
0000798359,2429
0000798783,2390
0000799233,1193
0000799288,1308
0000799292,2325
0000801337,1460
0000802481,689
0000803578,230
0000804328,2600
0000805928,1307
0000807863,68
0000807882,1470
0000810136,2599
0000810332,723
0000811156,1730
0000811222,627
0000811596,1143
0000811641,388
0000812011,2295
0000812074,1254
0000813298,1065
0000813672,2015
0000813716,652
0000814453,735
0000814547,1870
0000814586,658
0000814676,1407
0000815097,1531
0000815556,1228
0000816761,2150
0000817720,2531
0000818479,1504
0000818686,398
0000819793,1450
0000820313,2547
0000821130,151
0000821189,807
0000821483,808
0000822370,432
0000822818,1693
0000823277,950
0000823768,1684
0000825542,405
0000827052,1784
0000827099,1619
0000827187,1505
0000828146,45
0000829224,1327
0000829323,2212
0000831259,2772
