date,y1m,y3m,y6m,y1y
2018-04-03,1.7,1.75,1.92,2.09
2018-04-04,1.67,1.71,1.9,2.07
2018-04-05,1.67,1.72,1.93,2.07
2018-04-06,1.68,1.73,1.91,2.06
2018-04-09,1.67,1.76,1.93,2.08
2018-04-10,1.63,1.74,1.93,2.09
2018-04-11,1.64,1.73,1.95,2.09
2018-04-12,1.65,1.75,1.95,2.11
2018-04-13,1.64,1.76,1.97,2.12
2018-04-16,1.64,1.79,1.98,2.12
2018-04-17,1.68,1.8,2.02,2.16
2018-04-18,1.67,1.81,2.01,2.17
2018-04-19,1.67,1.82,2.01,2.21
2018-04-20,1.65,1.81,2.01,2.22
2018-04-23,1.69,1.87,2.04,2.25
2018-04-24,1.7,1.87,2.05,2.25
2018-04-25,1.65,1.85,2.03,2.26
2018-04-26,1.62,1.82,2.02,2.25
2018-04-27,1.62,1.82,2.02,2.24
2018-04-30,1.65,1.87,2.04,2.24
2018-05-01,1.68,1.85,2.05,2.26
2018-05-02,1.69,1.84,2.03,2.24
2018-05-03,1.68,1.84,2.02,2.24
2018-05-04,1.67,1.84,2.03,2.24
2018-05-07,1.69,1.86,2.05,2.25
2018-05-08,1.69,1.87,2.05,2.26
2018-05-09,1.68,1.88,2.05,2.27
2018-05-10,1.69,1.9,2.05,2.27
2018-05-11,1.68,1.92,2.06,2.28
2018-05-14,1.7,1.93,2.09,2.28
2018-05-15,1.69,1.92,2.09,2.31
2018-05-16,1.69,1.92,2.09,2.32
2018-05-17,1.7,1.92,2.1,2.32
2018-05-18,1.68,1.91,2.09,2.32
2018-05-21,1.71,1.93,2.14,2.35
2018-05-22,1.73,1.93,2.13,2.34
2018-05-23,1.76,1.92,2.11,2.29
2018-05-24,1.74,1.91,2.09,2.28
2018-05-25,1.7,1.9,2.07,2.27
2018-05-29,1.77,1.93,2.06,2.17
2018-05-30,1.77,1.94,2.08,2.23
2018-05-31,1.76,1.93,2.08,2.23
2018-06-01,1.74,1.92,2.1,2.28
2018-06-04,1.77,1.94,2.13,2.3
2018-06-05,1.82,1.94,2.13,2.32
2018-06-06,1.81,1.95,2.13,2.32
2018-06-07,1.78,1.94,2.12,2.31
2018-06-08,1.78,1.93,2.12,2.3
2018-06-11,1.82,1.94,2.11,2.32
2018-06-12,1.81,1.92,2.1,2.31
2018-06-13,1.82,1.94,2.09,2.35
2018-06-14,1.81,1.94,2.07,2.35
2018-06-15,1.82,1.94,2.07,2.35
2018-06-18,1.84,1.94,2.13,2.35
2018-06-19,1.85,1.94,2.13,2.34
2018-06-20,1.85,1.94,2.14,2.36
2018-06-21,1.85,1.94,2.12,2.34
2018-06-22,1.83,1.93,2.11,2.33
2018-06-25,1.8,1.93,2.13,2.34
2018-06-26,1.79,1.93,2.14,2.33
2018-06-27,1.79,1.93,2.1,2.33
2018-06-28,1.76,1.93,2.11,2.33
2018-06-29,1.77,1.93,2.11,2.33
2018-07-02,1.9,1.98,2.14,2.34
2018-07-03,1.91,1.98,2.12,2.33
2018-07-05,1.87,1.96,2.11,2.32
