date,tga_balance_b
2018-04-03,299.702
2018-04-04,300.604
2018-04-05,292.669
2018-04-06,291.637
2018-04-09,301.022
2018-04-10,302.176
2018-04-11,287.804
2018-04-12,225.32
2018-04-13,245.56
2018-04-16,262.442
2018-04-17,351.336
2018-04-18,350.943
2018-04-19,326.142
2018-04-20,336.271
2018-04-23,365.561
2018-04-24,413.608
2018-04-25,403.067
2018-04-26,395.225
2018-04-27,406.195
2018-04-30,419.376
2018-05-01,381.742
2018-05-02,384.961
2018-05-03,355.775
2018-05-04,355.182
2018-05-07,362.193
2018-05-08,354.299
2018-05-09,338.377
2018-05-10,338.237
2018-05-11,338.034
2018-05-14,347.471
2018-05-15,333.251
2018-05-16,327.748
2018-05-17,328.498
2018-05-18,327.372
2018-05-21,334.686
2018-05-22,327.648
2018-05-23,312.169
2018-05-24,311.183
2018-05-25,324.686
2018-05-29,334.815
2018-05-30,332.712
2018-05-31,354.393
2018-06-01,280.932
2018-06-04,288.988
2018-06-05,282.852
2018-06-06,289.454
2018-06-07,275.598
2018-06-08,278.084
2018-06-11,288.319
2018-06-12,287.18
2018-06-13,282.968
2018-06-14,278.287
2018-06-15,350.812
2018-06-18,373.207
2018-06-19,385.423
2018-06-20,380.09
2018-06-21,374.084
2018-06-22,374.63
2018-06-25,381.513
2018-06-26,375.921
2018-06-27,362.175
2018-06-28,352.083
2018-06-29,332.805
2018-07-02,350.599
2018-07-03,325.543
2018-07-05,326.453
2018-07-06,326.004
2018-07-09,334.686
2018-07-10,329.75
2018-07-11,316.434
2018-07-12,312.325
2018-07-13,308.129
2018-07-16,351.651
2018-07-17,347.036
2018-07-18,335.801
2018-07-19,352.247
2018-07-20,347.454
2018-07-23,355.938
2018-07-24,352.674
2018-07-25,338.978
2018-07-26,358.53
2018-07-27,356.398
2018-07-30,364.574
2018-07-31,358.159
2018-08-01,310.204
2018-08-02,344.497
2018-08-03,324.023
2018-08-06,331.58
2018-08-07,325.462
2018-08-08,311.69
2018-08-09,345.681
2018-08-10,345.053
2018-08-13,352.397
2018-08-14,348.234
2018-08-15,318.117
2018-08-16,351.762
2018-08-17,350.958
2018-08-20,352.718
2018-08-21,346.406
2018-08-22,334.992
2018-08-23,345.36
2018-08-24,339.925
2018-08-27,346.234
2018-08-28,341.177
2018-08-29,345.255
2018-08-30,341.54
2018-08-31,317.971
2018-09-04,328.486
2018-09-05,324.437
2018-09-06,306.574
2018-09-07,301.597
2018-09-10,309.612
2018-09-11,306.899
2018-09-12,297.697
2018-09-13,273.955
2018-09-14,292.893
2018-09-17,393.19
2018-09-18,405.806
2018-09-19,399.519
2018-09-20,363.997
2018-09-21,366.176
2018-09-24,380.103
2018-09-25,380.347
2018-09-26,367.243
2018-09-27,333.711
2018-09-28,384.713
2018-10-01,368.488
2018-10-02,369.434
2018-10-03,350.281
2018-10-04,329.827
2018-10-05,326.14
2018-10-09,329.788
2018-10-10,308.869
2018-10-11,306.983
2018-10-12,309.211
2018-10-15,364.651
2018-10-16,370.559
2018-10-17,360.638
2018-10-18,369.856
2018-10-19,369.528
2018-10-22,373.431
2018-10-23,374.478
2018-10-24,360.681
2018-10-25,372.379
2018-10-26,372.504
2018-10-29,381.164
2018-10-30,375.928
2018-10-31,366.596
2018-11-01,339.185
2018-11-02,316.635
2018-11-05,321.371
2018-11-06,313.269
2018-11-07,316.157
2018-11-08,343.799
2018-11-09,341.974
2018-11-13,347.277
2018-11-14,328.686
2018-11-15,327.429
2018-11-16,332.083
2018-11-19,340.443
2018-11-20,329.967
2018-11-21,317.331
2018-11-23,343.116
2018-11-26,355.284
2018-11-27,349.874
2018-11-28,332.336
2018-11-29,343.322
2018-11-30,344.874
2018-12-03,332.153
2018-12-04,324.242
2018-12-05,328.613
2018-12-06,335.333
2018-12-07,335.704
2018-12-10,345.214
2018-12-11,334.446
2018-12-12,322.663
2018-12-13,303.972
2018-12-14,311.699
2018-12-17,413.686
2018-12-18,405.951
2018-12-19,396.293
2018-12-20,369.121
2018-12-21,369.8
2018-12-24,385.921
2018-12-26,368.236
2018-12-27,350.161
2018-12-28,374.086
2018-12-31,402.138
2019-01-02,382.616
2019-01-03,352.175
2019-01-04,356.117
2019-01-07,364.76
2019-01-08,362.161
2019-01-09,349.443
2019-01-10,329.196
2019-01-11,331.349
2019-01-14,346.986
2019-01-15,391.614
2019-01-16,396.414
2019-01-17,379.667
2019-01-18,385.978
2019-01-22,401.576
2019-01-23,402.227
2019-01-24,398.325
2019-01-25,397.633
2019-01-28,407.393
2019-01-29,412.931
2019-01-30,411.384
2019-01-31,403.597
2019-02-01,336.151
2019-02-04,347.476
2019-02-05,353.2
2019-02-06,353.896
2019-02-07,338.549
2019-02-08,335.829
2019-02-11,394.023
2019-02-12,398.585
2019-02-13,375.119
2019-02-14,361.347
2019-02-15,321.808
2019-02-19,357.688
2019-02-20,331.003
2019-02-21,321.454
2019-02-22,311.876
2019-02-25,324.761
2019-02-26,326.153
2019-02-27,266.024
2019-02-28,290.665
2019-03-01,201.566
2019-03-04,213.03
2019-03-05,218.308
2019-03-06,213.611
2019-03-07,242.86
2019-03-08,240.931
2019-03-11,255.5
2019-03-12,262.271
2019-03-13,238.381
2019-03-14,241.667
2019-03-15,300.825
2019-03-18,328.71
2019-03-19,337.761
2019-03-20,314.749
2019-03-21,311.88
2019-03-22,309.955
2019-03-25,318.195
2019-03-26,320.547
2019-03-27,295.593
2019-03-28,295.961
2019-03-29,334.012
2019-04-01,307.32
2019-04-02,295.524
2019-04-03,270.47
2019-04-04,265.825
2019-04-05,264.187
2019-04-08,273.795
2019-04-09,260.472
2019-04-10,245.664
2019-04-11,221.493
2019-04-12,243.935
2019-04-15,317.915
2019-04-16,356.274
2019-04-17,369.365
2019-04-18,351.845
2019-04-19,364.539
2019-04-22,388.844
2019-04-23,416.992
2019-04-24,398.916
2019-04-25,394.315
2019-04-26,401.162
2019-04-29,414.335
2019-04-30,422.586
2019-05-01,368.764
2019-05-02,362.909
2019-05-03,340.557
2019-05-06,348.084
2019-05-07,361.375
2019-05-08,344.461
2019-05-09,326.721
2019-05-10,326.819
2019-05-13,333.924
2019-05-14,330.43
2019-05-15,294.969
2019-05-16,288.08
2019-05-17,285.01
2019-05-20,291.346
2019-05-21,281.013
2019-05-22,264.581
2019-05-23,249.017
2019-05-24,246.42
2019-05-28,250.731
2019-05-29,249.011
2019-05-30,233.808
2019-05-31,232.874
