date,CPIAUCSL,CPILFESL,PCEPI,PCEPILFE
2010-01-01,217.488,220.633,90.136,89.368
2010-02-01,217.281,220.731,90.134,89.446
2010-03-01,217.353,220.783,90.261,89.579
2010-04-01,217.403,220.822,90.31,89.625
2010-05-01,217.29,220.962,90.339,89.724
2010-06-01,217.199,221.194,90.301,89.767
2010-07-01,217.605,221.363,90.378,89.769
2010-08-01,217.923,221.509,90.502,89.855
2010-09-01,218.275,221.711,90.592,89.906
2010-10-01,219.035,221.83,90.881,90.043
2010-11-01,219.59,222.149,91.062,90.16
2010-12-01,220.472,222.343,91.268,90.179
2011-01-01,221.187,222.803,91.542,90.372
2011-02-01,221.898,223.213,91.797,90.53
2011-03-01,223.046,223.454,92.166,90.667
2011-04-01,224.093,223.727,92.557,90.875
2011-05-01,224.806,224.175,92.838,91.091
2011-06-01,224.806,224.697,92.819,91.191
2011-07-01,225.395,225.218,92.977,91.326
2011-08-01,226.106,225.862,93.196,91.508
2011-09-01,226.597,226.118,93.327,91.57
2011-10-01,226.75,226.506,93.329,91.614
2011-11-01,227.169,226.899,93.52,91.808
2011-12-01,227.223,227.405,93.574,91.96
2012-01-01,227.842,227.877,93.894,92.235
2012-02-01,228.329,228.034,94.104,92.364
2012-03-01,228.807,228.478,94.284,92.521
2012-04-01,229.187,228.905,94.408,92.661
2012-05-01,228.713,229.224,94.302,92.755
2012-06-01,228.524,229.623,94.254,92.85
2012-07-01,228.59,229.97,94.288,92.946
2012-08-01,229.918,230.233,94.605,93.005
2012-09-01,231.015,230.659,94.893,93.119
2012-10-01,231.638,231.024,95.174,93.345
2012-11-01,231.249,231.33,95.109,93.445
2012-12-01,231.221,231.725,95.094,93.514
2013-01-01,231.679,232.229,95.275,93.703
2013-02-01,232.937,232.569,95.614,93.805
2013-03-01,232.282,232.794,95.488,93.891
2013-04-01,231.797,232.832,95.391,93.937
2013-05-01,231.893,232.996,95.461,94.047
2013-06-01,232.445,233.35,95.673,94.209
2013-07-01,232.9,233.88,95.792,94.329
2013-08-01,233.456,234.336,95.934,94.431
2013-09-01,233.544,234.7,95.976,94.543
2013-10-01,233.669,234.921,96.103,94.703
2013-11-01,234.1,235.359,96.246,94.86
2013-12-01,234.719,235.759,96.414,94.961
2014-01-01,235.288,235.961,96.614,95.064
2014-02-01,235.547,236.185,96.66,95.109
2014-03-01,236.028,236.625,96.815,95.25
2014-04-01,236.468,237.072,96.987,95.413
2014-05-01,236.918,237.529,97.147,95.574
2014-06-01,237.231,237.837,97.253,95.682
2014-07-01,237.498,238.195,97.391,95.848
2014-08-01,237.46,238.405,97.379,95.885
2014-09-01,237.477,238.786,97.413,96.013
2014-10-01,237.43,239.191,97.384,96.096
2014-11-01,236.983,239.458,97.291,96.181
2014-12-01,236.252,239.584,97.12,96.249
2015-01-01,234.747,239.811,96.654,96.214
2015-02-01,235.342,240.172,96.825,96.324
2015-03-01,235.976,240.755,97.008,96.47
2015-04-01,236.222,241.346,97.094,96.648
2015-05-01,237.001,241.688,97.327,96.766
2015-06-01,237.657,242.064,97.516,96.882
2015-07-01,238.034,242.565,97.605,96.978
2015-08-01,238.033,242.817,97.612,97.056
2015-09-01,237.498,243.316,97.477,97.196
2015-10-01,237.733,243.768,97.477,97.228
2015-11-01,238.017,244.241,97.538,97.332
2015-12-01,237.761,244.547,97.456,97.396
2016-01-01,237.652,244.955,97.496,97.567
2016-02-01,237.336,245.51,97.445,97.736
2016-03-01,238.08,245.913,97.673,97.876
2016-04-01,238.992,246.551,97.993,98.117
2016-05-01,239.557,247.137,98.153,98.284
2016-06-01,240.222,247.54,98.325,98.386
2016-07-01,240.101,247.829,98.342,98.529
2016-08-01,240.545,248.423,98.479,98.703
2016-09-01,241.176,248.842,98.666,98.834
2016-10-01,241.741,249.142,98.868,98.961
2016-11-01,242.026,249.481,98.901,99.005
2016-12-01,242.637,249.92,99.071,99.12
2017-01-01,243.618,250.467,99.451,99.385
2017-02-01,244.006,250.998,99.586,99.561
2017-03-01,243.892,250.944,99.535,99.519
2017-04-01,244.193,251.227,99.725,99.723
2017-05-01,244.004,251.43,99.682,99.803
2017-06-01,244.163,251.746,99.766,99.937
2017-07-01,244.243,251.985,99.803,100.01
2017-08-01,245.183,252.535,100.027,100.118
2017-09-01,246.435,252.812,100.4,100.24
2017-10-01,246.626,253.526,100.531,100.486
2017-11-01,247.284,253.816,100.675,100.535
2017-12-01,247.805,254.344,100.821,100.683
2018-01-01,248.859,255.204,101.199,101.007
2018-02-01,249.529,255.711,101.416,101.198
2018-03-01,249.577,256.271,101.524,101.419
2018-04-01,250.227,256.63,101.766,101.602
