date,PPIACO,PPIFIS,DCOILWTICO,HOUST,UNRATE,CES0500000003
2010-01-01,181.9,101.2,,614.0,9.8,22.4
2010-01-31,181.9,101.2,72.85,614.0,9.8,22.4
2010-02-01,181.0,101.0,72.85,604.0,9.8,22.46
2010-02-28,181.0,101.0,79.72,604.0,9.8,22.46
2010-03-01,183.3,101.1,79.72,636.0,9.9,22.46
2010-03-31,183.3,101.1,83.45,636.0,9.9,22.46
2010-04-01,184.4,101.4,83.45,687.0,9.9,22.49
2010-04-30,184.4,101.4,86.07,687.0,9.9,22.49
2010-05-01,184.8,101.6,86.07,583.0,9.6,22.51
2010-05-31,184.8,101.6,74.0,583.0,9.6,22.51
2010-06-01,183.5,101.4,74.0,536.0,9.4,22.53
2010-06-30,183.5,101.4,75.59,536.0,9.4,22.53
2010-07-01,184.1,101.6,75.59,546.0,9.4,22.59
2010-07-31,184.1,101.6,78.85,546.0,9.4,22.59
2010-08-01,184.9,101.8,78.85,599.0,9.5,22.62
2010-08-31,184.9,101.8,71.93,599.0,9.5,22.62
2010-09-01,184.9,102.1,71.93,594.0,9.5,22.67
2010-09-30,184.9,102.1,79.95,594.0,9.5,22.67
2010-10-01,186.6,102.5,79.95,543.0,9.4,22.73
2010-10-31,186.6,102.5,81.45,543.0,9.4,22.73
2010-11-01,187.7,102.8,81.45,545.0,9.8,22.73
2010-11-30,187.7,102.8,84.12,545.0,9.8,22.73
2010-12-01,189.7,103.1,84.12,539.0,9.3,22.76
2010-12-31,189.7,103.1,91.38,539.0,9.3,22.76
2011-01-01,192.7,103.7,91.38,630.0,9.1,22.87
2011-01-31,192.7,103.7,90.99,630.0,9.1,22.87
2011-02-01,195.8,104.3,90.99,517.0,9.0,22.87
2011-02-28,195.8,104.3,97.1,517.0,9.0,22.87
2011-03-01,199.2,105.0,97.1,600.0,9.0,22.87
2011-03-31,199.2,105.0,106.19,600.0,9.0,22.87
2011-04-01,203.1,105.5,106.19,554.0,9.1,22.91
2011-04-30,203.1,105.5,113.39,554.0,9.1,22.91
2011-05-01,204.1,105.8,113.39,561.0,9.0,22.97
2011-05-31,204.1,105.8,102.7,561.0,9.0,22.97
2011-06-01,203.9,105.9,102.7,608.0,9.1,23.0
2011-06-30,203.9,105.9,95.3,608.0,9.1,23.0
2011-07-01,204.6,106.1,95.3,623.0,9.0,23.11
2011-07-31,204.6,106.1,95.68,623.0,9.0,23.11
2011-08-01,203.2,106.3,95.68,585.0,9.0,23.06
2011-08-31,203.2,106.3,88.81,585.0,9.0,23.06
2011-09-01,203.7,106.7,88.81,650.0,9.0,23.11
2011-09-30,203.7,106.7,78.93,650.0,9.0,23.11
2011-10-01,201.1,106.3,78.93,610.0,8.8,23.18
2011-10-31,201.1,106.3,93.19,610.0,8.8,23.18
2011-11-01,201.4,106.6,93.19,711.0,8.6,23.19
2011-11-30,201.4,106.6,100.36,711.0,8.6,23.19
2011-12-01,199.8,106.5,100.36,694.0,8.5,23.22
2011-12-31,199.8,106.5,98.83,694.0,8.5,23.22
2012-01-01,200.7,106.9,98.83,723.0,8.3,23.26
2012-01-31,200.7,106.9,98.46,723.0,8.3,23.26
2012-02-01,201.6,107.2,98.46,704.0,8.3,23.28
2012-02-29,201.6,107.2,107.08,704.0,8.3,23.28
2012-03-01,204.2,107.4,107.08,695.0,8.2,23.36
2012-03-31,204.2,107.4,103.03,695.0,8.2,23.36
2012-04-01,203.7,107.7,103.03,753.0,8.2,23.39
2012-04-30,203.7,107.7,104.89,753.0,8.2,23.39
2012-05-01,201.9,107.6,104.89,708.0,8.2,23.41
2012-05-31,201.9,107.6,86.52,708.0,8.2,23.41
2012-06-01,199.8,107.3,86.52,757.0,8.2,23.46
2012-06-30,199.8,107.3,85.04,757.0,8.2,23.46
2012-07-01,200.1,107.2,85.04,740.0,8.2,23.49
2012-07-31,200.1,107.2,88.08,740.0,8.2,23.49
2012-08-01,202.7,107.5,88.08,754.0,8.1,23.48
2012-08-31,202.7,107.5,96.47,754.0,8.1,23.48
2012-09-01,204.4,108.2,96.47,847.0,7.8,23.57
2012-09-30,204.4,108.2,92.18,847.0,7.8,23.57
2012-10-01,203.5,108.3,92.18,915.0,7.8,23.56
2012-10-31,203.5,108.3,86.23,915.0,7.8,23.56
2012-11-01,201.8,108.4,86.23,833.0,7.7,23.63
