cusip,issueDate,securityType,securityTerm,auctionDate,auctionDateYear,originalDatedDate,highYield,highDiscountRate,highInvestmentRate,highPrice,averageMedianYield,averageMedianDiscountRate,averageMedianInvestmentRate,averageMedianPrice,lowYield,lowDiscountRate,lowInvestmentRate,lowPrice,bidToCoverRatio,allocationPercentage,allocationPercentageDecimals,competitiveTendered,competitiveAccepted,noncompetitiveTendered,noncompetitiveAccepted,directBidderTendered,directBidderAccepted,indirectBidderTendered,indirectBidderAccepted,primaryDealerTendered,primaryDealerAccepted,fimaNoncompetitiveTendered,fimaNoncompetitiveAccepted,offeringAmount,totalAccepted,totalTendered,term,tintCusip,tips,frn
912810QU5,2012-04-16,Bond,29-Year 10-Month,2012-04-12,2012,2012-02-15T00:00:00,3.23,,,97.993453,3.171,,,,3.1,,,,2.76,23.17,2,35879700000.0,12994979500.0,,5030300.0,4450250000.0,1739567000.0,6667450000.0,3986035000.0,24762000000.0,7269377500.0,0.0,0.0,13000000000.0,15365467900.0,38250188400.0,30-Year,,No,
912810QW1,2012-07-16,Bond,29-Year 10-Month,2012-07-12,2012,2012-05-15T00:00:00,2.58,,,108.697683,2.549,,,,2.436,,,,2.7,40.64,2,35052700000.0,12990192000.0,,9838200.0,5179000000.0,2614160000.0,7591700000.0,4774360000.0,22282000000.0,5601672000.0,0.0,0.0,13000000000.0,13000030200.0,35062538200.0,30-Year,,No,
912810QX9,2012-10-15,Bond,29-Year 10-Month,2012-10-11,2012,2012-08-15T00:00:00,2.904,,,96.936227,2.844,,,,2.797,,,,2.49,96.46,2,32364250000.0,12994701000.0,,5313200.0,4912000000.0,1840000000.0,4368250000.0,3447250000.0,23084000000.0,7707451000.0,0.0,0.0,13000000000.0,13000014200.0,32369563200.0,30-Year,,No,
912810QY7,2013-01-15,Bond,29-Year 10-Month,2013-01-10,2013,2012-11-15T00:00:00,3.07,,,93.77221,3.032,,,,2.98,,,,2.77,5.45,2,36038417500.0,12989715500.0,,10285400.0,5033000000.0,2163163500.0,6936417500.0,4916389500.0,24069000000.0,5910162500.0,0.0,0.0,13000000000.0,13000000900.0,36048702900.0,30-Year,,No,
912810QZ4,2013-04-15,Bond,29-Year 10-Month,2013-04-11,2013,2013-02-15T00:00:00,2.998,,,102.487803,2.95,,,,2.9,,,,2.49,33.48,2,32395250000.0,12994492000.0,,5520900.0,4781500000.0,2499522000.0,5412750000.0,4085578000.0,22201000000.0,6409392000.0,0.0,0.0,13000000000.0,13000012900.0,32400770900.0,30-Year,,No,
912810RB6,2013-07-15,Bond,29-Year 10-Month,2013-07-11,2013,2013-05-15T00:00:00,3.66,,,85.814558,3.619,,,,3.5,,,,2.26,81.51,2,29334100000.0,12991278700.0,,8723200.0,3513000000.0,2122630200.0,6367600000.0,5224310300.0,19453500000.0,5644338200.0,0.0,0.0,13000000000.0,13000001900.0,29342823200.0,30-Year,,No,
912810RC4,2013-10-15,Bond,29-Year 10-Month,2013-10-10,2013,2013-08-15T00:00:00,3.758,,,97.618838,3.74,,,,3.68,,,,2.64,78.39,2,34324950000.0,12987665700.0,,2375000.0,5478000000.0,2941390000.0,7856950000.0,5438275700.0,20990000000.0,4608000000.0,10000000.0,10000000.0,13000000000.0,13000040700.0,34337325000.0,30-Year,,No,
912810RD2,2014-01-15,Bond,29-Year 10-Month,2014-01-09,2014,2013-11-15T00:00:00,3.899,,,97.378077,3.86,,,,3.8,,,,2.57,69.13,2,33424300000.0,12994052600.0,,5979500.0,4408000000.0,2272826000.0,7436700000.0,5772531600.0,21579600000.0,4948695000.0,0.0,0.0,13000000000.0,13000032100.0,33430279500.0,30-Year,,No,
912810RE0,2014-04-15,Bond,29-Year 10-Month,2014-04-10,2014,2014-02-15T00:00:00,3.525,,,101.829866,3.486,,,,3.43,,,,2.52,27.57,2,32728450000.0,12994814300.0,,5192400.0,3453000000.0,2326275700.0,7462750000.0,5631376100.0,21812700000.0,5037162500.0,0.0,0.0,13000000000.0,13000006700.0,32733642400.0,30-Year,,No,
912810RG5,2014-07-15,Bond,29-Year 10-Month,2014-07-10,2014,2014-05-15T00:00:00,3.369,,,100.106136,3.322,,,,3.25,,,,2.4,91.54,2,31239500000.0,12992272000.0,,7745100.0,2518000000.0,1440577000.0,8351500000.0,6916500000.0,20370000000.0,4635195000.0,0.0,0.0,13000000000.0,13000017100.0,31247245100.0,30-Year,,No,
912810RH3,2014-10-15,Bond,29-Year 10-Month,2014-10-09,2014,2014-08-15T00:00:00,3.074,,,100.986092,3.04,,,,2.97,,,,2.4,94.39,2,31247900000.0,12992973000.0,,2027900.0,4707000000.0,2799000000.0,7042900000.0,6004900000.0,19498000000.0,4189073000.0,5000000.0,5000000.0,13000000000.0,13000000900.0,31254927900.0,30-Year,,No,
912810RJ9,2015-01-15,Bond,29-Year 10-Month,2015-01-14,2015,2014-11-15T00:00:00,2.43,,,112.041418,2.374,,,,2.28,,,,2.32,29.89,2,30221360000.0,12996689000.0,,3322900.0,2585000000.0,1779454800.0,7603360000.0,6356689500.0,20033000000.0,4860544700.0,0.0,0.0,13000000000.0,13000011900.0,30224682900.0,30-Year,,No,
912810RK6,2015-04-15,Bond,29-Year 10-Month,2015-04-09,2015,2015-02-15T00:00:00,2.597,,,97.990952,2.529,,,,2.45,,,,2.18,40.72,2,28329707000.0,12991787000.0,,8225600.0,1477000000.0,906000000.0,6906707000.0,6659427000.0,19946000000.0,5426360000.0,0.0,0.0,13000000000.0,13000012600.0,28337932600.0,30-Year,,No,
912810RM2,2015-07-15,Bond,29-Year 10-Month,2015-07-09,2015,2015-05-15T00:00:00,3.084,,,98.364175,3.023,,,,2.934,,,,2.23,49.67,2,28993300000.0,12990135000.0,,9866200.0,2209000000.0,1055000000.0,7154300000.0,6635135000.0,19630000000.0,5300000000.0,0.0,0.0,13000000000.0,13000001200.0,29003166200.0,30-Year,,No,
912810RN0,2015-10-15,Bond,29-Year 10-Month,2015-10-08,2015,2015-08-15T00:00:00,2.914,,,99.221618,2.874,,,,2.795,,,,2.46,91.87,2,31979971000.0,12998353300.0,,1652000.0,3571000000.0,2017000000.0,7693471000.0,7328983300.0,20715500000.0,3652370000.0,0.0,0.0,13000000000.0,13000005300.0,31981623000.0,30-Year,,No,
912810RP5,2016-01-15,Bond,29-Year 10-Month,2016-01-14,2016,2015-11-15T00:00:00,2.905,,,101.882164,2.842,,,,2.715,,,,2.29,62.27,2,29735630000.0,12987262000.0,,12740300.0,2437000000.0,1409000000.0,7702130000.0,7340243500.0,19596500000.0,4238018500.0,0.0,0.0,13000000000.0,13000002300.0,29748370300.0,30-Year,,No,
912810RQ3,2016-04-15,Bond,29-Year 10-Month,2016-04-14,2016,2016-02-15T00:00:00,2.596,,,98.01143,2.56,,,,2.388,,,,2.4,81.3,2,28813850000.0,11987516000.0,,12487500.0,2333500000.0,1296500000.0,9241850000.0,7804671000.0,17238500000.0,2886345000.0,0.0,0.0,12000000000.0,12084451100.0,28910785100.0,30-Year,,No,
