cusip,auctionDate,issueDate,securityType,securityTerm,tenor_years,offeringAmount,totalAccepted,totalTendered
912810QU5,2012-04-12,2012-04-16,Bond,29-Year 10-Month,20.0,13000000000.0,15365467900.0,38250188400.0
912810QW1,2012-07-12,2012-07-16,Bond,29-Year 10-Month,20.0,13000000000.0,13000030200.0,35062538200.0
912810QX9,2012-10-11,2012-10-15,Bond,29-Year 10-Month,20.0,13000000000.0,13000014200.0,32369563200.0
912810QY7,2013-01-10,2013-01-15,Bond,29-Year 10-Month,20.0,13000000000.0,13000000900.0,36048702900.0
912810QZ4,2013-04-11,2013-04-15,Bond,29-Year 10-Month,20.0,13000000000.0,13000012900.0,32400770900.0
912810RB6,2013-07-11,2013-07-15,Bond,29-Year 10-Month,20.0,13000000000.0,13000001900.0,29342823200.0
912810RC4,2013-10-10,2013-10-15,Bond,29-Year 10-Month,20.0,13000000000.0,13000040700.0,34337325000.0
912810RD2,2014-01-09,2014-01-15,Bond,29-Year 10-Month,20.0,13000000000.0,13000032100.0,33430279500.0
912810RE0,2014-04-10,2014-04-15,Bond,29-Year 10-Month,20.0,13000000000.0,13000006700.0,32733642400.0
912810RG5,2014-07-10,2014-07-15,Bond,29-Year 10-Month,20.0,13000000000.0,13000017100.0,31247245100.0
912810RH3,2014-10-09,2014-10-15,Bond,29-Year 10-Month,20.0,13000000000.0,13000000900.0,31254927900.0
912810RJ9,2015-01-14,2015-01-15,Bond,29-Year 10-Month,20.0,13000000000.0,13000011900.0,30224682900.0
912810RK6,2015-04-09,2015-04-15,Bond,29-Year 10-Month,20.0,13000000000.0,13000012600.0,28337932600.0
912810RM2,2015-07-09,2015-07-15,Bond,29-Year 10-Month,20.0,13000000000.0,13000001200.0,29003166200.0
912810RN0,2015-10-08,2015-10-15,Bond,29-Year 10-Month,20.0,13000000000.0,13000005300.0,31981623000.0
912810RP5,2016-01-14,2016-01-15,Bond,29-Year 10-Month,20.0,13000000000.0,13000002300.0,29748370300.0
912810RQ3,2016-04-14,2016-04-15,Bond,29-Year 10-Month,20.0,12000000000.0,12084451100.0,28910785100.0
912810RS9,2016-07-13,2016-07-15,Bond,29-Year 10-Month,20.0,12000000000.0,12781587000.0,30598150600.0
912810RT7,2016-10-13,2016-10-17,Bond,29-Year 10-Month,20.0,12000000000.0,12000031000.0,29268487800.0
912810RU4,2017-01-12,2017-01-17,Bond,29-Year 10-Month,20.0,12000000000.0,12664929300.0,28451323300.0
912810RV2,2017-04-12,2017-04-17,Bond,29-Year 10-Month,20.0,12000000000.0,12098641600.0,26811570100.0
912810RX8,2017-07-13,2017-07-17,Bond,29-Year 10-Month,20.0,12000000000.0,12273921200.0,27949941200.0
912810RY6,2017-10-12,2017-10-16,Bond,29-Year 10-Month,20.0,12000000000.0,12000002900.0,30360091400.0
912810RZ3,2018-01-11,2018-01-16,Bond,29-Year 10-Month,20.0,12000000000.0,12406398400.0,33292485200.0
912810SA7,2018-04-12,2018-04-16,Bond,29-Year 10-Month,20.0,13000000000.0,13022289700.0,31409479700.0
912810SC3,2018-07-12,2018-07-16,Bond,29-Year 10-Month,20.0,14000000000.0,14054415600.0,32772713600.0
912810SD1,2018-10-11,2018-10-15,Bond,29-Year 10-Month,20.0,15000000000.0,15000000400.0,36292138200.0
912810SE9,2019-01-10,2019-01-15,Bond,29-Year 10-Month,20.0,16000000000.0,16000003500.0,35059319200.0
912810SF6,2019-04-11,2019-04-15,Bond,29-Year 10-Month,20.0,16000000000.0,16002247400.0,36020719900.0
912810SH2,2019-07-11,2019-07-15,Bond,29-Year 10-Month,20.0,16000000000.0,16136224700.0,34203462700.0
912810SJ8,2019-10-10,2019-10-15,Bond,29-Year 10-Month,20.0,16000000000.0,16000019200.0,35926506300.0
912810SK5,2020-01-09,2020-01-15,Bond,29-Year 10-Month,20.0,16000000000.0,16511946200.0,41182084200.0
912810SL3,2020-04-08,2020-04-15,Bond,29-Year 10-Month,20.0,17000000000.0,17055977200.0,40038822200.0
912810SN9,2020-07-09,2020-07-15,Bond,29-Year 10-Month,20.0,19000000000.0,20666899600.0,49165646600.0
912810SR0,2020-07-22,2020-07-31,Bond,19-Year 10-Month,20.0,17000000000.0,18931875600.0,43275746400.0
912810SP4,2020-10-08,2020-10-15,Bond,29-Year 10-Month,20.0,23000000000.0,23643373500.0,53262282500.0
912810SQ2,2020-10-21,2020-11-02,Bond,19-Year 10-Month,20.0,22000000000.0,24334075500.0,55767221000.0
912810SS8,2021-01-13,2021-01-15,Bond,29-Year 10-Month,20.0,24000000000.0,26412625300.0,61740735700.0
912810ST6,2021-01-20,2021-02-01,Bond,19-Year 10-Month,20.0,24000000000.0,27243816900.0,57942290900.0
912810SU3,2021-04-13,2021-04-15,Bond,29-Year 10-Month,20.0,24000000000.0,27684435400.0,62863089400.0
912810SW9,2021-04-21,2021-04-30,Bond,19-Year 10-Month,20.0,24000000000.0,28583344600.0,62562725600.0
912810SX7,2021-07-13,2021-07-15,Bond,29-Year 10-Month,20.0,24000000000.0,27950950000.0,56584152700.0
912810SY5,2021-07-21,2021-08-02,Bond,19-Year 10-Month,20.0,24000000000.0,26298329200.0,58193295600.0
912810SZ2,2021-10-13,2021-10-15,Bond,29-Year 10-Month,20.0,24000000000.0,25805823000.0,58433943600.0
912810TA6,2021-10-20,2021-11-01,Bond,19-Year 10-Month,20.0,24000000000.0,26439990100.0,56531059700.0
912810TB4,2022-01-13,2022-01-18,Bond,29-Year 10-Month,20.0,22000000000.0,25529881900.0,55327474400.0
912810TC2,2022-01-19,2022-01-31,Bond,19-Year 10-Month,20.0,20000000000.0,22989260500.0,52612313300.0
912810TD0,2022-04-13,2022-04-18,Bond,29-Year 10-Month,20.0,20000000000.0,24770919400.0,50773558800.0
912810TF5,2022-04-20,2022-05-02,Bond,19-Year 10-Month,20.0,16000000000.0,18218454400.0,47033756700.0
91282CEU1,2022-06-07,2022-06-15,Note,3-Year,3.0,44000000000.0,46587278700.0,110521080900.0
91282CEW7,2022-06-27,2022-06-30,Note,5-Year,5.0,47000000000.0,50592129800.0,110854529800.0
91282CEX5,2022-06-27,2022-06-30,Note,2-Year,2.0,46000000000.0,49515934000.0,118912071500.0
91282CEV9,2022-06-28,2022-06-30,Note,7-Year,7.0,40000000000.0,43057150400.0,102302136400.0
91282CEY3,2022-07-11,2022-07-15,Note,3-Year,3.0,43000000000.0,48480681900.0,109875234500.0
91282CEP2,2022-07-12,2022-07-15,Note,9-Year 10-Month,5.0,33000000000.0,37206110400.0,81564065400.0
912810TG3,2022-07-13,2022-07-15,Bond,29-Year 10-Month,20.0,19000000000.0,21421698300.0,48701153200.0
912810TH1,2022-07-20,2022-08-01,Bond,19-Year 10-Month,20.0,14000000000.0,15214669000.0,38370997300.0
91282CFA4,2022-07-25,2022-08-01,Note,2-Year,2.0,45000000000.0,48904336300.0,120135163900.0
91282CFB2,2022-07-26,2022-08-01,Note,5-Year,5.0,46000000000.0,49991086600.0,117310251600.0
91282CFC0,2022-07-28,2022-08-01,Note,7-Year,7.0,38000000000.0,41297000800.0,102246542800.0
91282CFE6,2022-08-09,2022-08-15,Note,3-Year,3.0,42000000000.0,68564317600.0,131590042600.0
91282CFG1,2022-08-23,2022-08-31,Note,2-Year,2.0,44000000000.0,49728465100.0,115188805100.0
91282CFH9,2022-08-24,2022-08-31,Note,5-Year,5.0,45000000000.0,50858640200.0,109237000200.0
91282CFJ5,2022-08-25,2022-08-31,Note,7-Year,7.0,37000000000.0,41817126000.0,103041378900.0
91282CFK2,2022-09-12,2022-09-15,Note,3-Year,3.0,41000000000.0,41000013000.0,102244035000.0
91282CFN6,2022-09-26,2022-09-30,Note,2-Year,2.0,43000000000.0,43000123700.0,107908880200.0
91282CFM8,2022-09-27,2022-09-30,Note,5-Year,5.0,44000000000.0,44000107900.0,99930677900.0
91282CFL0,2022-09-28,2022-09-30,Note,7-Year,7.0,36000000000.0,36000003600.0,92485179600.0
91282CFP1,2022-10-11,2022-10-17,Note,3-Year,3.0,40000000000.0,40000009700.0,102686839700.0
91282CFF3,2022-10-12,2022-10-17,Note,9-Year 10-Month,5.0,32000000000.0,32000029600.0,74894397100.0
912810TJ7,2022-10-13,2022-10-17,Bond,29-Year 10-Month,20.0,18000000000.0,18000001400.0,42950711400.0
912810TK4,2022-10-19,2022-10-31,Bond,19-Year 10-Month,20.0,12000000000.0,12000010800.0,30027737800.0
91282CFQ9,2022-10-25,2022-10-31,Note,2-Year,2.0,42000000000.0,42000045400.0,108656339400.0
91282CFU0,2022-10-26,2022-10-31,Note,5-Year,5.0,43000000000.0,43000006400.0,106618676400.0
91282CFT3,2022-10-27,2022-10-31,Note,7-Year,7.0,35000000000.0,35000027000.0,85063878200.0
91282CFW6,2022-11-08,2022-11-15,Note,3-Year,3.0,40000000000.0,54027076300.0,116752966300.0
91282CFX4,2022-11-21,2022-11-30,Note,2-Year,2.0,42000000000.0,46566125200.0,115563037700.0
91282CFZ9,2022-11-21,2022-11-30,Note,5-Year,5.0,43000000000.0,47674762400.0,107439473800.0
91282CFY2,2022-11-22,2022-11-30,Note,7-Year,7.0,35000000000.0,38805040100.0,85357214100.0
91282CGA3,2022-12-12,2022-12-15,Note,3-Year,3.0,40000000000.0,40000047800.0,102056647800.0
