date,DGS1MO,DGS3MO,DGS2,DGS10,DGS30,DFF,T10Y2Y
2005-01-03,1.99,2.32,3.1,4.23,4.85,2.31,1.13
2005-01-04,2.05,2.33,3.2,4.29,4.91,2.25,1.09
2005-01-05,2.04,2.33,3.22,4.29,4.88,2.25,1.07
2005-01-06,2.04,2.31,3.18,4.29,4.89,2.25,1.11
2005-01-07,2.03,2.32,3.2,4.29,4.88,2.24,1.09
2005-01-08,2.03,2.32,3.2,4.29,4.88,2.24,1.09
2005-01-09,2.03,2.32,3.2,4.29,4.88,2.24,1.09
2005-01-10,2.07,2.36,3.23,4.29,4.86,2.26,1.06
2005-01-11,2.03,2.34,3.24,4.26,4.84,2.24,1.02
2005-01-12,2.01,2.34,3.22,4.25,4.8,2.25,1.03
2005-01-13,2.06,2.35,3.21,4.2,4.77,2.29,0.99
2005-01-14,2.06,2.37,3.24,4.23,4.78,2.29,0.99
2005-01-15,2.06,2.37,3.24,4.23,4.78,2.29,0.99
2005-01-16,2.06,2.37,3.24,4.23,4.78,2.29,0.99
2005-01-17,2.06,2.37,3.24,4.23,4.78,2.29,0.99
2005-01-18,2.05,2.39,3.26,4.21,4.72,2.31,0.95
2005-01-19,1.95,2.37,3.26,4.2,4.7,2.19,0.94
2005-01-20,1.89,2.35,3.21,4.17,4.71,2.25,0.96
2005-01-21,2.02,2.36,3.16,4.16,4.7,2.26,1.0
2005-01-22,2.02,2.36,3.16,4.16,4.7,2.26,1.0
2005-01-23,2.02,2.36,3.16,4.16,4.7,2.26,1.0
2005-01-24,2.05,2.37,3.2,4.14,4.63,2.26,0.94
2005-01-25,2.13,2.39,3.23,4.2,4.71,2.29,0.97
2005-01-26,2.16,2.41,3.27,4.21,4.7,2.33,0.94
2005-01-27,2.16,2.44,3.28,4.22,4.71,2.39,0.94
2005-01-28,2.12,2.46,3.25,4.16,4.64,2.48,0.91
2005-01-29,2.12,2.46,3.25,4.16,4.64,2.48,0.91
2005-01-30,2.12,2.46,3.25,4.16,4.64,2.48,0.91
2005-01-31,2.06,2.51,3.29,4.14,4.62,2.5,0.85
2005-02-01,2.23,2.51,3.29,4.15,4.63,2.4,0.86
2005-02-02,2.22,2.51,3.32,4.15,4.61,2.29,0.83
2005-02-03,2.18,2.48,3.34,4.18,4.58,2.49,0.84
2005-02-04,2.2,2.47,3.29,4.09,4.48,2.51,0.8
2005-02-05,2.2,2.47,3.29,4.09,4.48,2.51,0.8
