securityType,securityTerm,tenor_years,calendar_conventions,day_count_convention,coupon_frequency,is_discount
Bill,4-Week,0.0769,ACT/360,discount,none,true
Bill,8-Week,0.1538,ACT/360,discount,none,true
Bill,13-Week,0.25,ACT/360,discount,none,true
Bill,17-Week,0.3269,ACT/360,discount,none,true
Bill,26-Week,0.5,ACT/360,discount,none,true
Bill,52-Week,1.0,ACT/360,discount,none,true
Note,2-Year,2.0,ACT/ACT,coupon,semi-annual,false
Note,3-Year,3.0,ACT/ACT,coupon,semi-annual,false
Note,5-Year,5.0,ACT/ACT,coupon,semi-annual,false
Note,7-Year,7.0,ACT/ACT,coupon,semi-annual,false
Note,10-Year,10.0,ACT/ACT,coupon,semi-annual,false
Bond,20-Year,20.0,ACT/ACT,coupon,semi-annual,false
Bond,30-Year,30.0,ACT/ACT,coupon,semi-annual,false
