date,DGS10,DGS2,DFF,T10Y2Y,DEXUSEU
1962-01-02,4.06,,2.75,,
1962-01-03,4.03,,2.5,,
1962-01-04,3.99,,2.75,,
1962-01-05,4.02,,2.5,,
1962-01-06,4.02,,2.5,,
1962-01-07,4.02,,2.5,,
1962-01-08,4.03,,2.0,,
1962-01-09,4.05,,1.25,,
1962-01-10,4.07,,0.5,,
1962-01-11,4.08,,2.75,,
1962-01-12,4.08,,2.75,,
1962-01-13,4.08,,2.75,,
1962-01-14,4.08,,2.75,,
1962-01-15,4.1,,3.0,,
1962-01-16,4.13,,2.5,,
1962-01-17,4.12,,3.0,,
1962-01-18,4.11,,2.25,,
1962-01-19,4.11,,2.0,,
1962-01-20,4.11,,2.0,,
1962-01-21,4.11,,2.0,,
1962-01-22,4.09,,1.25,,
1962-01-23,4.11,,0.5,,
1962-01-24,4.1,,0.25,,
1962-01-25,4.11,,2.0,,
1962-01-26,4.11,,2.5,,
1962-01-27,4.11,,2.5,,
1962-01-28,4.11,,2.5,,
1962-01-29,4.12,,2.5,,
1962-01-30,4.11,,1.5,,
1962-01-31,4.1,,1.5,,
1962-02-01,4.09,,2.25,,
1962-02-02,4.08,,1.5,,
1962-02-03,4.08,,1.5,,
1962-02-04,4.08,,1.5,,
1962-02-05,4.07,,2.0,,
1962-02-06,4.06,,2.75,,
1962-02-07,4.07,,2.75,,
1962-02-08,4.07,,2.75,,
1962-02-09,4.05,,2.75,,
1962-02-10,4.05,,2.75,,
1962-02-11,4.05,,2.75,,
1962-02-12,4.05,,2.75,,
1962-02-13,4.03,,1.75,,
1962-02-14,4.03,,2.75,,
1962-02-15,4.02,,2.75,,
1962-02-16,4.02,,2.5,,
1962-02-17,4.02,,2.5,,
1962-02-18,4.02,,2.5,,
1962-02-19,4.01,,2.5,,
1962-02-20,4.05,,1.75,,
1962-02-21,4.03,,2.0,,
1962-02-22,4.03,,2.0,,
1962-02-23,4.02,,2.5,,
1962-02-24,4.02,,2.5,,
1962-02-25,4.02,,2.5,,
1962-02-26,4.0,,2.5,,
1962-02-27,4.01,,2.5,,
1962-02-28,4.0,,2.75,,
1962-03-01,3.98,,2.5,,
1962-03-02,3.98,,2.75,,
1962-03-03,3.98,,2.75,,
1962-03-04,3.98,,2.75,,
1962-03-05,4.0,,2.75,,
1962-03-06,4.01,,2.75,,
1962-03-07,4.0,,3.0,,
1962-03-08,3.98,,2.75,,
1962-03-09,3.96,,3.0,,
1962-03-10,3.96,,3.0,,
1962-03-11,3.96,,3.0,,
1962-03-12,3.94,,3.0,,
1962-03-13,3.92,,2.75,,
1962-03-14,3.93,,2.75,,
1962-03-15,3.96,,2.75,,
1962-03-16,3.96,,2.75,,
1962-03-17,3.96,,2.75,,
1962-03-18,3.96,,2.75,,
1962-03-19,3.93,,3.0,,
1962-03-20,3.91,,2.75,,
1962-03-21,3.86,,3.0,,
1962-03-22,3.83,,3.0,,
1962-03-23,3.87,,3.0,,
1962-03-24,3.87,,3.0,,
1962-03-25,3.87,,3.0,,
1962-03-26,3.89,,3.0,,
1962-03-27,3.9,,2.75,,
1962-03-28,3.9,,3.0,,
1962-03-29,3.9,,3.0,,
1962-03-30,3.86,,2.75,,
1962-03-31,3.86,,2.75,,
1962-04-01,3.86,,2.75,,
1962-04-02,3.86,,2.75,,
1962-04-03,3.83,,2.75,,
1962-04-04,3.78,,2.25,,
1962-04-05,3.84,,2.75,,
1962-04-06,3.81,,2.75,,
1962-04-07,3.81,,2.75,,
1962-04-08,3.81,,2.75,,
1962-04-09,3.83,,2.75,,
1962-04-10,3.83,,2.75,,
1962-04-11,3.87,,3.0,,
1962-04-12,3.86,,3.0,,
1962-04-13,3.85,,3.0,,
1962-04-14,3.85,,3.0,,
1962-04-15,3.85,,3.0,,
1962-04-16,3.83,,2.75,,
1962-04-17,3.82,,2.75,,
1962-04-18,3.81,,3.0,,
1962-04-19,3.82,,3.0,,
1962-04-20,3.82,,2.75,,
1962-04-21,3.82,,2.75,,
1962-04-22,3.82,,2.75,,
1962-04-23,3.86,,3.0,,
1962-04-24,3.87,,2.75,,
1962-04-25,3.88,,3.0,,
1962-04-26,3.89,,3.0,,
1962-04-27,3.86,,2.5,,
1962-04-28,3.86,,2.5,,
1962-04-29,3.86,,2.5,,
1962-04-30,3.86,,2.5,,
1962-05-01,3.85,,2.5,,
1962-05-02,3.86,,2.75,,
1962-05-03,3.86,,2.75,,
1962-05-04,3.87,,2.75,,
1962-05-05,3.87,,2.75,,
1962-05-06,3.87,,2.75,,
1962-05-07,3.86,,2.75,,
1962-05-08,3.85,,2.75,,
1962-05-09,3.82,,2.5,,
1962-05-10,3.83,,2.75,,
1962-05-11,3.82,,2.25,,
1962-05-12,3.82,,2.25,,
1962-05-13,3.82,,2.25,,
1962-05-14,3.85,,2.25,,
1962-05-15,3.87,,2.5,,
1962-05-16,3.86,,3.0,,
1962-05-17,3.87,,2.5,,
1962-05-18,3.93,,2.25,,
1962-05-19,3.93,,2.25,,
1962-05-20,3.93,,2.25,,
1962-05-21,3.94,,2.5,,
1962-05-22,3.93,,2.75,,
1962-05-23,3.91,,2.5,,
1962-05-24,3.9,,2.5,,
1962-05-25,3.88,,2.25,,
1962-05-26,3.88,,2.25,,
1962-05-27,3.88,,2.25,,
1962-05-28,3.87,,1.25,,
1962-05-29,3.89,,0.75,,
1962-05-30,3.89,,0.75,,
1962-05-31,3.9,,2.75,,
1962-06-01,3.89,,2.75,,
1962-06-02,3.89,,2.75,,
1962-06-03,3.89,,2.75,,
1962-06-04,3.88,,2.5,,
1962-06-05,3.89,,2.0,,
1962-06-06,3.89,,1.75,,
1962-06-07,3.87,,2.25,,
1962-06-08,3.86,,2.25,,
1962-06-09,3.86,,2.25,,
1962-06-10,3.86,,2.25,,
1962-06-11,3.87,,2.75,,
1962-06-12,3.86,,2.75,,
1962-06-13,3.87,,2.75,,
1962-06-14,3.9,,2.75,,
1962-06-15,3.89,,2.75,,
1962-06-16,3.89,,2.75,,
1962-06-17,3.89,,2.75,,
1962-06-18,3.91,,3.0,,
1962-06-19,3.93,,3.0,,
1962-06-20,3.92,,3.0,,
1962-06-21,3.9,,3.0,,
1962-06-22,3.9,,2.75,,
1962-06-23,3.9,,2.75,,
1962-06-24,3.9,,2.75,,
1962-06-25,3.95,,3.0,,
1962-06-26,3.97,,3.0,,
1962-06-27,3.96,,3.0,,
1962-06-28,3.98,,3.0,,
1962-06-29,4.0,,2.75,,
1962-06-30,4.0,,2.75,,
1962-07-01,4.0,,2.75,,
1962-07-02,4.0,,3.0,,
1962-07-03,4.0,,2.75,,
1962-07-04,4.0,,2.75,,
1962-07-05,4.0,,2.75,,
1962-07-06,4.02,,2.75,,
1962-07-07,4.02,,2.75,,
1962-07-08,4.02,,2.75,,
1962-07-09,4.05,,2.75,,
1962-07-10,4.02,,2.75,,
1962-07-11,3.99,,2.5,,
1962-07-12,4.0,,2.75,,
1962-07-13,4.0,,2.75,,
