tenor_code,maturity_years,cash_flow_bucket,dv01_per_100_notional,rebalance_bucket,liquidity_tier
1M,0.0833,ultra-short,0.008,daily,tier1
2M,0.1667,ultra-short,0.017,daily,tier1
3M,0.25,ultra-short,0.025,daily,tier1
6M,0.5,short,0.050,weekly,tier1
1Y,1.0,short,0.099,weekly,tier1
2Y,2.0,short-belly,0.196,weekly,tier1
3Y,3.0,belly,0.289,weekly,tier1
5Y,5.0,belly,0.472,weekly,tier1
7Y,7.0,belly,0.641,weekly,tier1
10Y,10.0,long-belly,0.881,weekly,tier1
20Y,20.0,long,1.520,monthly,tier2
30Y,30.0,long,1.860,monthly,tier1
