ZIP,REGAGNT,INSAGNT1,BKCLASS,STNAME,ASSET,MUTUAL,NAME,CHARTER,OFFDOM,CERT,SUBCHAPS,STALP,OAKAR,ID
53946,FDIC,DIF,NM,Wisconsin,263059.0,0,Ergo Bank,0,6.0,10004,0,WI,0,10004
53566,FDIC,DIF,NM,Wisconsin,509650.0,0,Woodford State Bank,0,6.0,10011,1,WI,0,10011
54909,FDIC,DIF,NM,Wisconsin,212581.0,0,The Portage County Bank,0,4.0,10012,1,WI,0,10012
54757,FDIC,DIF,NM,Wisconsin,241081.0,0,Security Bank,0,4.0,10015,0,WI,0,10015
54935,OCC,DIF,N,Wisconsin,2933056.0,0,National Exchange Bank and Trust,13879,34.0,10044,0,WI,0,10044
48858,FED,DIF,SM,Michigan,2203614.0,0,Isabella Bank,0,31.0,1005,0,MI,0,1005
31501,FDIC,DIF,NM,Georgia,334787.0,0,First Southern Bank,0,7.0,10055,0,GA,0,10055
31087,FDIC,DIF,NM,Georgia,84575.0,0,Bank of Hancock County,0,1.0,10057,0,GA,0,10057
31730,FDIC,DIF,NM,Georgia,145493.0,0,Planters and Citizens Bank,0,1.0,10072,0,GA,0,10072
30528,FDIC,DIF,NM,Georgia,73232.0,0,Apex Banking Company of Georgia,0,2.0,10074,0,GA,0,10074
61728,FDIC,DIF,NM,Illinois,47037.0,0,Peoples State Bank of Colfax,0,1.0,10075,0,IL,0,10075
62635,FDIC,DIF,NM,Illinois,38322.0,0,Farmers State Bank of Emden,0,1.0,10077,0,IL,0,10077
49230,FED,DIF,SM,Michigan,159724.0,0,Bank Michigan,0,3.0,1008,0,MI,0,1008
47034,FDIC,DIF,NM,Indiana,507010.0,0,The Napoleon State Bank,0,7.0,10101,0,IN,0,10101
52033,FDIC,DIF,NM,Iowa,489249.0,0,Ohnward Bank & Trust,0,6.0,10111,0,IA,0,10111
50219,FDIC,DIF,NM,Iowa,293411.0,0,Leighton State Bank,0,4.0,10118,1,IA,0,10118
52255,FDIC,DIF,NM,Iowa,28689.0,0,American Trust and Savings Bank,0,1.0,10120,0,IA,0,10120
52747,FDIC,DIF,NM,Iowa,182910.0,0,Liberty Trust & Savings Bank,0,3.0,10121,0,IA,0,10121
50675,FDIC,DIF,NM,Iowa,232530.0,0,Farmers Savings Bank & Trust,0,2.0,10122,1,IA,0,10122
52205,FDIC,DIF,NM,Iowa,175037.0,0,Citizens Savings Bank,0,2.0,10125,1,IA,0,10125
52537,FDIC,DIF,NM,Iowa,267113.0,0,Success Bank,0,3.0,10127,1,IA,0,10127
50010,FDIC,DIF,NM,Iowa,146440.0,0,Exchange State Bank,0,3.0,10132,1,IA,0,10132
41143,FDIC,DIF,NM,Kentucky,244276.0,0,The Commercial Bank of Grayson,0,3.0,10137,0,KY,0,10137
49345,FED,DIF,SM,Michigan,4391138.0,0,ChoiceOne Bank,0,51.0,1014,0,MI,0,1014
42765,FDIC,DIF,NM,Kentucky,24001.0,0,Hart County Bank and Trust Company,0,1.0,10145,0,KY,0,10145
49455,FDIC,DIF,NM,Michigan,391544.0,0,The Shelby State Bank,0,10.0,10157,0,MI,0,10157
55003,FDIC,DIF,NM,Minnesota,471002.0,0,First State Bank and Trust,0,4.0,10159,1,MN,0,10159
56340,OCC,DIF,N,Minnesota,782851.0,0,VersaBank USA National Association,23457,1.0,10160,0,MN,0,10160
55951,FDIC,DIF,NM,Minnesota,105200.0,0,First State Bank Minnesota,0,2.0,10162,1,MN,0,10162
55047,FDIC,DIF,NM,Minnesota,235431.0,0,Security State Bank of Marine,0,4.0,10163,1,MN,0,10163
56364,FDIC,DIF,NM,Minnesota,330978.0,0,Farmers and Merchants State Bank of Pierz,0,3.0,10165,1,MN,0,10165
56751,FDIC,DIF,NM,Minnesota,286018.0,0,Citizens State Bank of Roseau,0,1.0,10167,1,MN,0,10167
55009,FDIC,DIF,NM,Minnesota,473457.0,0,First Farmers & Merchants Bank,0,7.0,10168,0,MN,0,10168
55308,FDIC,DIF,NM,Minnesota,343385.0,0,Sherburne State Bank,0,3.0,10169,0,MN,0,10169
56586,FDIC,DIF,NM,Minnesota,111995.0,0,Farmers State Bank of Underwood,0,4.0,10174,1,MN,0,10174
55746,FDIC,DIF,NM,Minnesota,146163.0,0,Security State Bank of Hibbing,0,1.0,10175,0,MN,0,10175
56045,FDIC,DIF,NM,Minnesota,110591.0,0,Produce State Bank,0,4.0,10178,1,MN,0,10178
56028,FDIC,DIF,NM,Minnesota,78786.0,0,Elysian Bank,0,1.0,10185,1,MN,0,10185
56644,FDIC,DIF,NM,Minnesota,53476.0,0,The Northern State Bank of Gonvick,0,1.0,10187,1,MN,0,10187
56281,FDIC,DIF,NM,Minnesota,296243.0,0,PrinsBank,0,4.0,10191,1,MN,0,10191
56474,FDIC,DIF,NM,Minnesota,183686.0,0,Pine River State Bank,0,5.0,10194,1,MN,0,10194
56323,FDIC,DIF,NM,Minnesota,103054.0,0,Hometown Community Bank,0,4.0,10197,1,MN,0,10197
56145,FDIC,DIF,NM,Minnesota,39845.0,0,State Bank of Jeffers,0,1.0,10200,0,MN,0,10200
56349,FDIC,DIF,NM,Minnesota,86563.0,0,Lowry State Bank,0,1.0,10202,1,MN,0,10202
56035,FDIC,DIF,NM,Minnesota,226753.0,0,Commerce Bank,0,2.0,10212,1,MN,0,10212
55085,FDIC,DIF,NM,Minnesota,936640.0,0,Vermillion State Bank,0,6.0,10214,1,MN,0,10214
55350,FDIC,DIF,NM,Minnesota,310003.0,0,Citizens Bank & Trust Co.,0,3.0,10218,1,MN,0,10218
53818,OCC,DIF,N,Wisconsin,342755.0,0,"Clare Bank, National Association",15649,8.0,1022,1,WI,0,1022
58257,FDIC,DIF,NM,North Dakota,179210.0,0,The Goose River Bank,0,3.0,10236,1,ND,0,10236
58632,FDIC,DIF,NM,North Dakota,120879.0,0,First State Bank of Golva,0,3.0,10243,1,ND,0,10243
58854,FDIC,DIF,NM,North Dakota,6047838.0,0,First International Bank & Trust,0,28.0,10248,1,ND,0,10248
58790,FDIC,DIF,NM,North Dakota,206073.0,0,Peoples State Bank of Velva,0,2.0,10250,1,ND,0,10250
58523,FDIC,DIF,NM,North Dakota,74118.0,0,First Security Bank - West,0,2.0,10253,1,ND,0,10253
44861,FDIC,DIF,NM,Ohio,853794.0,0,The Old Fort Banking Company,0,11.0,10255,1,OH,0,10255
45715,FDIC,DIF,NM,Ohio,329652.0,0,The Citizens Bank Company,0,5.0,10266,0,OH,0,10266
72315,FED,DIF,SM,Arkansas,1303870.0,0,Fm Bank And Trust,0,16.0,1027,1,AR,0,1027
71742,FED,DIF,SM,Arkansas,250512.0,0,FBT Bank & Mortgage,0,5.0,1028,1,AR,0,1028
43724,FDIC,DIF,NM,Ohio,134933.0,0,The Farmers and Merchants Bank,0,1.0,10280,0,OH,0,10280
37402,FDIC,DIF,NM,Tennessee,2302796.0,0,Builtwell Bank,0,36.0,10307,0,TN,0,10307
38017,FED,DIF,SM,Tennessee,1121513.0,0,The Bank of Fayette County,0,15.0,10308,0,TN,0,10308
38040,FED,DIF,SM,Tennessee,134944.0,0,Bank of Halls,0,2.0,10315,0,TN,0,10315
37861,FDIC,DIF,NM,Tennessee,274617.0,0,Citizens Bank and Trust Company of Grainger County,0,5.0,10317,0,TN,0,10317
37208,FDIC,DIF,NM,Tennessee,185762.0,0,Citizens Savings Bank and Trust Company,0,2.0,10319,0,TN,0,10319
