CERT,NAME,ASSET,DEP,NETINC,ROA,ROE,NTLNLSR,NPERFV,P3ASSET,P9ASSET,RBC1AAJ,RBCT1J,RBCRWAJ,LNATRES,ELNATR,NIMY,LNLSNET,LNCRCD,LNCONOTH,LNRENRES,EQ,LNLSGR,DRLNLS,CRLNLS
14,STATE STREET BANK&TRUST CO,368219000,277920000,732000,0.8164995370938417,10.55,0.08160119681755333,0.06164809529111752,0,0,6.044314710808947,19630000,15.872939092540678,176000,12000,1.0365671844081212,44684000,0,0,1610000,28020000,44860000,9000,0
35,AUBURNBANK,996268,911417,1578,0.6397988971780734,7.96,0.04551285071340505,0.06012438420184127,750,80,10.523021446792429,106924,16.047237402702656,6750,-10,3.18644496427894,554190,0,8110,233984,81725,560940,100,36
39,ROBERTSON BANKING CO,474020,416928,2468,2.0992642368051717,22.76,0.01873904936802556,0.07362558541833678,987,0,10.064851662350241,47801,15.106627172974257,4713,0,4.135268561276841,309384,0,2165,142192,45043,314097,20,5
41,PHENIX-GIRARD BANK,321186,309933,716,0.9075051371951944,220.48,0.04043186283490533,0.1133299707957383,760,95,11.633765682430093,41654,0,1214,12,2.724523026261301,79986,0,436,25047,3318,81200,11,3
49,BANK OF EVERGREEN,75979,67230,129,0.6726852002737672,6.96,0.025649246553382497,0.07370457626449413,705,0,13.618924139390892,10294,0,516,5,3.2407793435059338,30429,0,1523,8938,7643,30945,6,4
50,COMMUNITY SPIRIT BANK,211940,193601,1208,2.2933461163332094,32.5,0.05028972055925127,0.02406341417382278,95,0,9.564924713790862,20461,0,1797,50,4.449966350882642,135617,0,6565,28488,15229,137414,26,9
51,BANK OF VERNON,378727,314137,1136,1.2242879986636293,7.43,0.7298544953968482,0.6278929149492907,3970,3,17.91544444145429,66572,0,2534,327,4.3388295237421275,253223,1531,4586,55326,62747,255757,459,9
52,CITIZENS BANK OF WINFIELD,271298,218045,160,0.23605086896226138,2.82,0.290568093642172,0.35606602333964865,1239,836,18.34369518109586,56886,0,978,38,2.124046132410295,90408,0,11119,13686,23710,91386,114,48
54,EXCHANGE BANK OF ALABAMA,376573,327365,828,0.8730194294269756,7.46,0.045716784519899224,0.08471133087077407,148,7,14.360084897694222,56630,0,2530,0,3.4643180763365526,192569,2171,3649,79225,45281,195099,23,0
58,UNITED BANK,1393915,1160390,4651,1.3346160109443677,9.77,-0.019118337387445058,1.0453291628255668,8495,760,14.70408139646619,209638,21.616048194315876,14655,2005,4.58809160090665,869562,2194,16093,159183,194406,884217,55,97
70,PEOPLES EXCHANGE BANK,97134,86422,111,0.46494824309253413,4.5,0.25291986956561013,1.753248090267054,918,339,12.878661087866108,12312,0,689,0,3.938222212288505,54499,0,2209,16686,10059,55188,40,5
72,CENTRAL STATE BANK,686711,618523,3405,2.0137949388986227,22.39,0.0035367791878228695,0.16469810444277141,3056,713,10.073427667592608,67922,0,5509,195,4.306993437959062,460348,627,3543,148204,62547,465857,49,45
77,BANKSOUTH,211470,170103,633,1.2025275876071269,6.33,0,0.017496571617723552,303,0,19.299422959682794,40837,0,2815,0,3.498477612587962,161487,0,164,44619,40374,164302,0,0
81,WARREN BANK&TRUST CO,156282,112776,17,0.04447133070647287,0.35,0.2786719838562437,0.8286302965152736,462,0,14.722563292989536,22662,0,878,86,2.4813388322710384,83280,0,6405,12247,19549,84158,65,7
88,GENERATIONS BANK,988451,857880,2810,1.1506413750778652,11.47,-0.0011788655923762761,1.3414929015196504,10595,3502,10.826588422644141,106194,14.959402591189743,6978,300,3.847342567364662,685663,0,14120,227240,99458,692641,24,26
89,SIGNATURE BANK OF ARKANSAS,1378939,1204428,3024,0.9067004080751506,10.03,0.049368324184127635,0.052939252570273224,183,0,9.346339731761521,126377,12.323309673863807,13348,670,3.542977902329214,1128907,1135,2539,357151,122400,1142255,156,19
90,COMMERCIAL BANK&TRUST CO,369358,342769,608,0.6667781619185226,12.8,0.3814510745650157,1.7359851417865595,4210,61,10.907191032582881,40187,0,2455,295,2.7667049964546155,234178,0,20128,60380,19880,236633,280,60
93,RIVERSIDE BANK,68626,55215,136,0.8333141854889977,6.89,-0.02435658033612081,0.6921574913298167,0,449,10.246662276237801,6846,17.0752108552708,503,0,4.44650927060016,46846,0,2178,1888,10200,47349,0,3
99,BANK OF DELIGHT,184298,149183,981,2.1295185790184896,15.94,0.04586104104563173,0.4281109941507775,918,0,13.588718187377227,25111,0,1159,0,4.229674435153887,156802,0,3821,37688,25111,157961,18,0
105,BANK OF CAVE CITY,195453,165693,483,0.9996585017540591,19.99,0.05750975206486495,0.9674960220615697,1519,329,8.234749163357396,15822,21.243937739633854,827,3,3.9571460617367036,131779,338,3521,12492,10093,132606,34,15
107,MERCHANTS&PLANTERS BANK,48626,45255,92,0.7277113675239028,12,0,0.12544729157240983,78,0,11.533895406161337,5732,0,134,0,3.3294097864469485,18465,0,612,6934,3277,18599,2,2
109,HORATIO STATE BANK,307798,275048,381,0.49590730047784765,4.8,1.0224463833115423,0.7313237902780395,5383,391,11.29202777487731,34606,0,4231,590,3.6259740792037616,250623,0,32846,27460,31867,254854,741,89
110,BANK OZK,39165415,31925666,171959,1.776796931122383,11.92,0.24910301368409643,0.5419679582100687,21750,0,13.846363697667762,5233873,14.426068080463061,488150,38417,4.230809055826648,30619723,0,3759224,7997142,5831336,31107873,20203,1185
131,SEACOAST NATIONAL BANK,15723411,12581505,31980,0.8282171618806835,5.83,0.2710015621672886,0.49771643061419685,17124,64,10.505872083206198,1554228,15.102023937384523,140267,9400,3.508359630194418,10318770,0,105643,4735710,2208632,10459037,8277,1239
147,CENTURY BANK&TRUST,364121,325655,1419,1.5908383852822223,16.8,-0.004144208080687731,0.11095212855067409,100,0,12.689010089692257,46205,0,2252,30,3.8720827685806114,195197,0,1851,91612,33772,197449,2,4
148,BANK OF MADISON,432028,389083,1534,1.4764924641374273,16.37,0.0013480154684775009,0.1719795939152092,283,0,10.940488433111959,45533,14.770935587603887,4436,15,4.024790882839719,293724,0,2056,69118,38630,298160,2,1
